Year Reported to CDP,Account Number,Organization,City,Country,CDP Region,Reporting Authority,Access,First Time Discloser,Population,Population Year,City Location,Last update
2019,840309,Markaryds Kommun,,Sweden,Europe,"CDP Cities,ICLEI - Local Governments for Sustainability,WWF",public,Yes,,0,,2020-06-25T04:52:51.327
2019,54609,Alcaldia de Trujillo,Trujillo,Peru,Latin America,CDP Cities,public,Yes,971116,217,,2020-06-25T04:52:51.327
2019,840914,Prefeitura de Cáceres,,Brazil,Latin America,CDP Cities,public,Yes,,0,,2020-06-25T04:52:51.327
2019,841416,Municipalidad de Puerto Esperanza,,Argentina,Latin America,CDP Cities,public,Yes,,0,,2020-06-25T04:52:51.327
2019,840030,Reconquista,,Argentina,Latin America,CDP Cities,public,Yes,,0,,2020-06-25T04:52:51.327
2019,54649,Prefeitura de Tatuí,Tatuí,Brazil,Latin America,CDP Cities,non public,No,,0,POINT (-47.8466 -23.3492),2020-06-25T04:52:51.327
2019,54632,Prefeitura de Caruaru,Caruaru,Brazil,Latin America,CDP Cities,non public,Yes,314912,2010,,2020-06-25T04:52:51.327
2019,2028,City of Bonn,Bonn,Germany,Europe,"CDP Cities,ICLEI - Local Governments for Sustainability",public,Yes,324670,2019,,2020-06-25T04:52:51.327
2019,840926,Prefeitura de Serra Talhada,,Brazil,Latin America,CDP Cities,public,Yes,,0,,2020-06-25T04:52:51.327
2019,36504,Comune di Rimini,Rimini,Italy,Europe,CDP Cities,public,No,150590,2018,POINT (12.5695 44.0678),2020-06-25T04:52:51.327
2019,73678,Chañar Ladeado,,Argentina,Latin America,"CDP Cities,ICLEI - Local Governments for Sustainability",public,Yes,5415,2010,,2020-06-25T04:52:51.327
2019,3203,City of Chicago,Chicago,United States of America,North America,"C40,CDP Cities,ICLEI - Local Governments for Sustainability",public,No,2705994,2018,POINT (-87.6298 41.8781),2020-06-25T04:52:51.327
2019,54104,City of Boulder,Boulder,United States of America,North America,"CDP Cities,ICLEI - Local Governments for Sustainability,WWF",public,No,108507,2017,POINT (-105.252 40.0274),2020-06-25T04:52:51.327
2019,50356,Ayuntamiento de Morelia,Morelia,Mexico,Latin America,"CDP Cities,ICLEI - Local Governments for Sustainability,WWF",public,No,784776,2015,POINT (-117.069 32.5026),2020-06-25T04:52:51.327
2019,841153,Municipalidad de Bellavista,,Peru,Latin America,"CDP Cities,ICLEI - Local Governments for Sustainability,WWF",public,Yes,,0,,2020-06-25T04:52:51.327
2019,59631,"City of San Leandro, CA",San Leandro,United States of America,North America,CDP Cities,public,No,90553,2019,POINT (-122.156 37.7249),2020-06-25T04:52:51.327
2019,31184,Prefeitura de São Paulo,São Paulo,Brazil,Latin America,"C40,CDP Cities,ICLEI - Local Governments for Sustainability",public,No,,0,POINT (-46.7382 -23.5595),2020-06-25T04:52:51.327
2019,36286,Comune di Ferrara,Ferrara,Italy,Europe,CDP Cities,public,No,132009,2017,POINT (11.619 44.8357),2020-06-25T04:52:51.327
2019,60236,Municipality of Trelleborg,Trelleborg,Sweden,Europe,"CDP Cities,Union of the Baltic Cities",public,No,44854,2018,POINT (13.1569 55.3751),2020-06-25T04:52:51.327
2019,36495,Comune di Piacenza,Piacenza,Italy,Europe,CDP Cities,public,No,103942,2018,POINT (9.69264 45.052),2020-06-25T04:52:51.327
2019,54579,Sekhukhune District Municipality,Sekhukhune District Municipality,South Africa,Africa,CDP Cities,public,No,,0,POINT (29.974 -24.8335),2020-06-25T04:52:51.327
2019,73763,San Carlos City,,Philippines,Southeast Asia and Oceania,"CDP Cities,ICLEI - Local Governments for Sustainability,WWF",public,Yes,,0,,2020-06-25T04:52:51.327
2019,60906,Municipalidad de Vitacura,,Chile,Latin America,"CDP Cities,ICLEI - Local Governments for Sustainability,WWF",public,Yes,85,217,,2020-06-25T04:52:51.327
2019,58865,Jammerbugt Kommune,Jammerbugt,Denmark,Europe,CDP Cities,public,No,,0,POINT (9.54153 57.1453),2020-06-25T04:52:51.327
2019,69995,Kemi,Kemi,Finland,Europe,"CDP Cities,Union of the Baltic Cities",public,No,21024,2018,POINT (24.5637 65.7364),2020-06-25T04:52:51.327
2019,73301,"City of Gretna, LA",Gretna,United States of America,North America,CDP Cities,public,No,17935,2017,POINT (-90.0542 29.9164),2020-06-25T04:52:51.327
2019,60268,Prefeitura de Brumadinho,Brumadinho,Brazil,Latin America,"CDP Cities,ICLEI - Local Governments for Sustainability,WWF",public,No,,0,POINT (-44.1982 -20.1427),2020-06-25T04:52:51.327
2019,58871,"City of Salem, MA",Salem,United States of America,North America,CDP Cities,public,No,43146,2017,POINT (-70.8967 42.5195),2020-06-25T04:52:51.327
2019,31113,City of Yokohama,Yokohama,Japan,East Asia,"C40,CDP Cities,ICLEI - Local Governments for Sustainability",public,No,37341317,2019,POINT (139.638 35.4437),2020-06-25T04:52:51.327
2019,59595,"City of Brisbane, CA","Brisbane, CA",United States of America,North America,CDP Cities,public,No,4603,2015,POINT (-122.4 37.6808),2020-06-25T04:52:51.327
2019,74428,"City of South Miami, FL",South Miami,United States of America,North America,"CDP Cities,ICLEI - Local Governments for Sustainability,WWF",public,No,12500,2017,POINT (-80.1918 25.7617),2020-06-25T04:52:51.327
2019,840930,Prefeitura de Venâncio Aires,,Brazil,Latin America,CDP Cities,public,Yes,,0,,2020-06-25T04:52:51.327
2019,74531,Santa Fe County,Santa Fe County,United States of America,North America,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,150056,2018,POINT (-106 35.5),2020-06-25T04:52:51.327
2019,35848,Municipality of Belo Horizonte,Belo Horizonte,Brazil,Latin America,"CDP Cities,ICLEI - Local Governments for Sustainability,WWF",public,No,2513451,2016,POINT (-43.9345 -19.9167),2020-06-25T04:52:51.327
2019,54700,Prefeitura Municipal de Sumaré,Sumaré,Brazil,Latin America,CDP Cities,public,No,237007,2017,POINT (-47.2669 -22.8219),2020-06-25T04:52:51.327
2019,74309,Nakhon Sawan,,Thailand,East Asia,"CDP Cities,ICLEI - Local Governments for Sustainability,WWF",public,Yes,83045,2018,,2020-06-25T04:52:51.327
2019,49367,Freetown City,Freetown,Sierra Leone,Africa,"CDP Cities,ICLEI - Local Governments for Sustainability,WWF",public,No,7,7,POINT (-13.2317 8.4657),2020-06-25T04:52:51.327
2019,54270,Palmerston North City Council,,New Zealand,Southeast Asia and Oceania,"CDP Cities,ICLEI - Local Governments for Sustainability",public,Yes,87300,2017,,2020-06-25T04:52:51.327
2019,60361,Prefeitura de Tangará da Serra,Tangará da Serra,Brazil,Latin America,CDP Cities,public,No,83431,2010,POINT (-57.4858 -14.6194),2020-06-25T04:52:51.327
2019,36492,Comune di Parma,Parma,Italy,Europe,CDP Cities,public,No,196000,2018,POINT (10.3279 44.8015),2020-06-25T04:52:51.327
2019,35859,City of Cleveland,Cleveland,United States of America,North America,"CDP Cities,ICLEI - Local Governments for Sustainability,WWF",public,No,385428,2017,POINT (-81.6944 41.4993),2020-06-25T04:52:51.327
2019,54430,Ville du Havre,Le Havre,France,Europe,CDP Cities,public,No,,0,POINT (0.1 49.49),2020-06-25T04:52:51.327
2019,839669,Municipio de San Jose,,Guatemala,Latin America,"CDP Cities,ICLEI - Local Governments for Sustainability,WWF",public,Yes,56907,2019,,2020-06-25T04:52:51.327
2019,834258,Municipality of Inriville,,Argentina,Latin America,"CDP Cities,ICLEI - Local Governments for Sustainability,WWF",public,Yes,3719,2014,,2020-06-25T04:52:51.327
2019,840515,Tangerang Selatan City,,Indonesia,Southeast Asia and Oceania,"CDP Cities,ICLEI - Local Governments for Sustainability",non public,Yes,,0,,2020-06-25T04:52:51.327
2019,55325,Município de Águeda,Águeda,Portugal,Europe,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,,0,POINT (-8.44582 40.5753),2020-06-25T04:52:51.327
2019,831616,Commune de Tsévié,Tsévié,Togo,Africa,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,59000,2017,POINT (1.21333 6.42611),2020-06-25T04:52:51.327
2019,73736,Tafi Viejo,,Argentina,Latin America,"CDP Cities,ICLEI - Local Governments for Sustainability",public,Yes,56407,2010,,2020-06-25T04:52:51.327
2019,60384,Alcaldía de Yopal,,Colombia,Latin America,"CDP Cities,ICLEI - Local Governments for Sustainability,WWF",public,Yes,152655,2019,,2020-06-25T04:52:51.327
2019,73732,Monte Buey,,Argentina,Latin America,"CDP Cities,ICLEI - Local Governments for Sustainability",public,Yes,6285,2010,,2020-06-25T04:52:51.327
2019,58395,Bærum Kommune,Bærum,Norway,Europe,"CDP Cities,ICLEI - Local Governments for Sustainability,WWF",public,No,126841,2018,POINT (10.5938 59.9205),2020-06-25T04:52:51.327
2019,36037,Santiago de Cali,Santiago de Cali,Colombia,Latin America,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,,0,POINT (-76.532 3.45164),2020-06-25T04:52:51.327
2019,54111,City of Iowa City,Iowa City,United States of America,North America,CDP Cities,public,No,76290,2018,POINT (-91.5302 41.6611),2020-06-25T04:52:51.327
2019,50354,Alcaldía de Tegucigalpa,Tegucigalpa,Honduras,Latin America,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,1225043,2017,POINT (-87.2044 14.1051),2020-06-25T04:52:51.327
2019,50794,Prefeitura Municipal de Caieiras,Caieiras,Brazil,Latin America,CDP Cities,non public,No,,0,POINT (-46.7402 -23.3612),2020-06-25T04:52:51.327
2019,63562,"City of South Bend, IN",South Bend,United States of America,North America,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,102245,2017,POINT (41.6754 -86.2532),2020-06-25T04:52:51.327
2019,64014,City of Cupertino,Cupertino,United States of America,North America,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,60170,2018,POINT (-122.032 37.323),2020-06-25T04:52:51.327
2019,49342,City of Rochester,Rochester,United States of America,North America,CDP Cities,public,No,,0,POINT (-77.6109 43.161),2020-06-25T04:52:51.327
2019,35897,Municipality of Campinas,Campinas,Brazil,Latin America,"CDP Cities,ICLEI - Local Governments for Sustainability,WWF",public,No,1194094,2018,POINT (-46.9372 -22.744),2020-06-25T04:52:51.327
2019,54109,City of Bloomington,Bloomington,United States of America,North America,CDP Cities,public,No,84981,2018,POINT (-86.5264 39.1653),2020-06-25T04:52:51.327
2019,42178,Distrito Metropolitano de Quito,Quito,Ecuador,Latin America,"C40,CDP Cities,ICLEI - Local Governments for Sustainability",public,No,2239191,2010,POINT (-78.5167 -0.2333),2020-06-25T04:52:51.327
2019,73789,Rafaela,,Argentina,Latin America,"CDP Cities,ICLEI - Local Governments for Sustainability",public,Yes,92945,2010,,2020-06-25T04:52:51.327
2019,59588,"Town of Chapel Hill, NC",Chapel Hill,United States of America,North America,CDP Cities,non public,No,,0,POINT (-79.0558 35.9132),2020-06-25T04:52:51.327
2019,63919,"City of Saratoga Springs, NY",Saratoga Springs,United States of America,North America,CDP Cities,public,No,28027,2017,POINT (-73.8167 43.0333),2020-06-25T04:52:51.327
2019,840070,Somerset West and Taunton,,United Kingdom of Great Britain and Northern Ireland,Europe,CDP Cities,public,Yes,153866,2018,,2020-06-25T04:52:51.327
2019,1499,Ajuntament de Barcelona,Barcelona,Spain,Europe,"C40,CDP Cities,ICLEI - Local Governments for Sustainability",public,No,1620343,2018,POINT (2.1775 41.3823),2020-06-25T04:52:51.327
2019,826236,Prefeitura de Tremembé,Tremembé,Brazil,Latin America,"CDP Cities,ICLEI - Local Governments for Sustainability,WWF",public,No,40984,2015,POINT (-45.548 -22.9576),2020-06-25T04:52:51.327
2019,69848,Municipio de Loja,Loja,Ecuador,Latin America,"CDP Cities,ICLEI - Local Governments for Sustainability,WWF",public,No,214855,2010,POINT (-3.99313 -79.2042),2020-06-25T04:52:51.327
2019,31154,Bogotá Distrito Capital,Bogotá,Colombia,Latin America,"C40,CDP Cities,ICLEI - Local Governments for Sustainability",public,No,7980001,2016,POINT (-74.0721 4.711),2020-06-25T04:52:51.327
2019,50680,Município de Cascais,Cascais,Portugal,Europe,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,208122,2014,POINT (-9.42229 38.697),2020-06-25T04:52:51.327
2019,3429,City of Stockholm,Stockholm,Sweden,Europe,"C40,CDP Cities,ICLEI - Local Governments for Sustainability",public,No,949761,2017,POINT (18.0686 59.3293),2020-06-25T04:52:51.327
2019,60328,Prefeitura de Pirenópolis,Pirenópolis,Brazil,Latin America,CDP Cities,public,No,,0,POINT (-48.9595 -15.8545),2020-06-25T04:52:51.327
